order,question_en,question,id,name
1,The UK should leave the EU immediately.,Velká Británie by měla okamžitě vystoupit z Evropské unie.,1,Vystoupení z EU
2,No one should be imprisoned for possession of drugs for personal use.,Držení drog pro osobní potřebu by mělo být legální.,2,Držení drog legální
3,Rules for benefit claimants should be tougher.,Pravidla pro vyplácení sociálních dávek by měla být přísnější.,3,Přísnější sociální dávky
4,The tax rate on personal income above £150k a year should be increased to 50%.,Sazba daně příjmů pro lidi s příjmy na 150 000 liber (560 000 Kč) ročně by se měla zvýšit na 50 %.,4,Progresivní daň z příjmů
5,"The ""bedroom tax"" should be scrapped.","""Daň z ložnice"" by měla být zrušena. (Daň z ložnice je snížení soc. dávek v případě, že rodina má “nadbytečný” počet pokojů v domě/bytě.)",5,Zrušní daně z ložnice
6,Winter fuel payments should only be available to pensioners on low incomes.,Státní příspěvky na zimní topení by měly být vypláceny pouze důchodcům s nízkými příjmy.,6,Příspěvky na topení
7,The government should cut UK foreign aid.,Vláda by měla seškrtat rozvojovou pomoc chudým zemím.,7,Snížení rozvojové pomoci
8,People living in social housing should have the right to buy their home at a discount.,Lidé žijící v sociálním bydlení by měli dostat slevu při pořizování bydlení.,8,Sleva na bydlení
9,The UK should renew the Trident nuclear weapon system.,Velká Británie by měla modernizovat systém jaderných zbraní Trident.,9,Modernizace Tridentu
10,Sex education should be compulsory in all state schools,Sexuální výchova by měla být povinná ve všech veřejných školách,10,Povinná sexuální výchova
11,There should be a limit on the amount landlords can increase rent each year.,Maximální možná míra ročního zvyšování nájmů by měla být zastropována.,11,Limit na zvyšování nájmů
12,The government's top priority should be cutting the budget deficit.,Hlavní prioritou vlády by mělo být snižování schodku státního rozpočtu.,12,Snižování schodku rozpočtu priorita
13,Public spending should be increased even if it means the government borrows more.,"Veřejné výdaje by se měly zvýšit, i kdyby to znamenalo, že si stát bude půjčovat více.",13,Zvyšování veřejných výdajů
14,University tuition fees should be reduced.,Školné na vysokých školách by se mělo snížit.,14,Nižší školná na VŠ
15,All primary school children should get free school meals regardless of household income.,Žáci základních škol by měli dostávat obědy zdarma bez ohledu na příjem jejich domácnosti.,15,Obědy zdarma na ZŠ
16,The government should set targets for carbon emission reduction.,Vláda by měla limitovat emise oxidu uhličitého.,16,Limity pro CO2
17,"The government should allow ""fracking"" to extract gas and oil.",Vláda by mělo povolit těžbu ropy a zemního plynu pomocí hydraulického štěpení (“fracking”).,17,Fracking
18,Only skilled immigrants should be allowed to move to the UK.,Pouze imigranti s vysokou pracovní kvalifikací by měli mít možnost přistěhovat se do Velké Británie.,18,Omezení imigrace
19,Immigrants should have to wait at least two years before claiming unemployment benefits.,Imigranti by měli čekat alespoň dva roky na oprávnění získávat podporu v nezaměstnanosti.,19,Imigranti 2 roky bez soc. dávek
20,The government should raise new taxes to fund the NHS.,"Vláda by měla zvýšit daně, aby zajistila financování státního zdravotnictví.",20,Financování státního zdravotnictví
21,The government should support the oil and gas industry by cutting taxes on its profits.,Vláda by měla podporovat těžbu ropy a zemního plynu daňovými úlevami.,21,Daňové úlevy pro těžbu
22,Scotland should be an independent country.,Skotsko by mělo být nezávislou zemí.,22,Skotsko samostatné
23,The government sould take rail services into public ownership.,Vláda by měla převzít železniční dopravu do veřejného vlastnictví.,23,Železnice veřejné
24,The government should have the power to access records of anyone's digital communications.,Vláda by měla mít možnost číst digitální komunikaci kohokoli. ,24,Přístup vlády k elektronické komunikaci
